1,3
2,53
3,52
4,102
5,105
6,108
7,58
8,57
9,7
10,6
11,5
12,4
13,3
14,6
15,5
16,8
17,7
18,6
19,5
20,4
21,-46
22,-43
23,-40
24,-37
25,-38
26,-38
27,-39
28,-40
29,10
30,9
31,8
32,7
33,6
34,5
35,4
36,54
37,53
38,52
39,51
40,50
41,0
42,-1
43,2
44,5
45,4
46,3
47,2
48,52
49,51
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,46
59,45
60,44
61,43
62,42
63,41
64,91
65,90
66,89
67,139
68,142
69,92
70,91
71,90
72,89
73,92
74,91
75,90
76,89
77,88
78,38
79,37
80,-13
81,-14
82,36
83,35
84,38
85,37
86,36
87,35
88,34
89,33
90,32
91,31
92,30
93,29
94,28
95,27
96,26
97,-24
98,-25
99,-75
100,-76
101,-77
102,-78
103,-79
104,-80
105,-81
106,-82
107,-83
108,-84
109,-85
110,-82
111,-79
112,-80
113,-130
114,-131
115,-128
116,-125
117,-175
