1,-1
2,-2
3,-3
4,-53
5,-103
6,-100
7,-101
8,-51
9,-52
10,-53
11,-50
12,-100
13,-101
14,-102
15,-103
16,-104
17,-105
18,-106
19,-103
20,-104
21,-105
22,-106
23,-107
24,-108
25,-109
26,-110
27,-111
28,-112
29,-113
30,-163
31,-164
32,-165
33,-166
34,-216
35,-217
36,-167
37,-168
38,-118
39,-68
40,-69
41,-70
42,-71
43,-72
44,-73
45,-70
46,-71
47,-121
48,-122
49,-123
50,-124
51,-125
52,-122
53,-119
54,-120
55,-117
56,-118
57,-119
58,-120
59,-121
60,-122
61,-172
62,-169
63,-166
64,-167
65,-168
66,-169
67,-170
68,-120
69,-121
70,-122
71,-119
72,-120
73,-117
74,-118
75,-115
76,-116
77,-117
78,-118
79,-119
80,-120
81,-170
82,-220
83,-221
84,-222
85,-223
86,-224
87,-221
88,-222
89,-219
90,-216
91,-217
92,-218
93,-219
94,-220
95,-221
96,-271
97,-272
98,-273
99,-274
100,-324
101,-325
102,-326
103,-327
104,-277
105,-278
106,-328
107,-329
108,-279
109,-280
110,-281
111,-282
112,-283
113,-333
114,-283
115,-280
116,-330
117,-327
118,-328
119,-329
120,-330
121,-331
122,-281
123,-282
124,-279
125,-280
126,-281
127,-282
128,-332
129,-333
130,-334
131,-335
132,-336
133,-286
134,-287
135,-288
136,-285
137,-286
138,-236
139,-286
140,-287
141,-288
142,-289
143,-286
144,-287
145,-284
146,-285
147,-286
148,-236
149,-186
150,-187
151,-188
152,-185
153,-182
154,-232
155,-282
156,-283
157,-284
158,-285
159,-335
160,-332
161,-333
162,-334
163,-384
164,-381
165,-382
166,-383
167,-384
168,-385
169,-386
170,-387
171,-337
172,-338
173,-335
174,-285
175,-286
176,-287
177,-288
178,-289
179,-290
180,-291
181,-292
182,-293
183,-294
184,-244
185,-245
186,-246
187,-247
188,-248
189,-249
190,-246
191,-247
192,-248
193,-198
194,-195
195,-196
196,-197
197,-194
198,-195
199,-196
200,-197
201,-247
202,-244
203,-241
204,-242
205,-243
206,-244
207,-245
208,-242
209,-292
210,-293
211,-294
212,-295
213,-296
214,-293
215,-243
216,-244
217,-245
218,-246
219,-296
220,-297
221,-298
222,-248
223,-249
224,-250
225,-247
226,-197
227,-198
228,-148
229,-149
230,-150
231,-151
232,-152
233,-153
234,-154
235,-155
236,-205
237,-206
238,-207
239,-208
240,-205
241,-206
242,-256
243,-257
244,-258
245,-259
246,-209
247,-210
248,-211
249,-208
250,-209
251,-210
252,-211
253,-212
254,-213
255,-163
256,-164
257,-214
258,-215
259,-216
260,-166
261,-167
262,-168
263,-169
264,-170
265,-171
266,-168
267,-169
268,-170
269,-171
270,-121
271,-122
272,-123
273,-120
274,-121
275,-118
276,-68
277,-118
278,-68
279,-69
280,-70
281,-67
282,-64
283,-65
284,-66
285,-67
286,-68
287,-69
288,-70
289,-71
290,-68
291,-69
292,-66
293,-63
294,-64
295,-65
296,-66
297,-67
298,-68
299,-118
300,-68
301,-118
302,-68
303,-118
304,-119
305,-120
306,-70
307,-71
308,-68
309,-69
310,-70
311,-71
312,-72
313,-73
314,-70
315,-71
316,-72
317,-73
318,-74
319,-75
320,-76
321,-73
322,-74
323,-75
324,-76
325,-77
326,-78
327,-75
328,-25
329,-26
330,-76
331,-77
332,-78
333,-79
334,-76
335,-77
336,-27
337,-28
338,-28
339,-29
340,-26
341,-76
342,-73
343,-74
344,-75
345,-72
346,-73
347,-74
348,-75
349,-125
350,-126
351,-123
352,-173
353,-174
354,-124
355,-74
356,-75
357,-76
358,-73
359,-74
360,-75
361,-72
362,-22
363,-23
364,-20
365,-70
366,-71
367,-72
368,-73
369,-70
370,-71
371,-21
372,-18
373,-19
374,-20
375,-17
376,-18
377,-15
378,-16
379,-17
380,-18
381,-68
382,-69
383,-70
384,-71
385,-68
386,-69
387,-119
388,-120
389,-121
390,-122
391,-123
392,-124
393,-74
394,-71
395,-68
396,-65
397,-66
398,-67
399,-64
400,-61
401,-58
402,-59
403,-60
404,-61
405,-62
406,-62
407,-112
408,-113
409,-114
410,-115
411,-116
412,-66
413,-67
414,-17
415,-18
416,-15
417,-16
418,-13
419,-14
420,-15
421,-12
422,-13
423,-10
424,-11
425,-8
426,-9
427,-10
428,-11
429,-61
430,-62
431,-63
432,-64
433,-61
434,-62
435,-112
436,-113
437,-114
438,-115
439,-165
440,-115
441,-116
442,-117
443,-118
444,-119
445,-120
446,-70
447,-67
448,-68
449,-18
450,-19
451,-20
452,-21
453,29
